epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1955,1.16935,1.74794,1.27866,0.77533,0.6845,0.76425,0.5951,0.76971,1.60483,0.9673,0.00332724,0.00332724,0.00332724
2,163.251,1.0416,1.0617,1.16515,0.79603,0.71047,0.78024,0.59815,0.81988,0.90304,0.98772,0.00659463,0.00659463,0.00659463
3,237.581,1.12597,1.12454,1.19028,0.67158,0.65739,0.74322,0.55433,0.8906,2.81637,1.01221,0.00979603,0.00979603,0.00979603
4,311.04,1.17445,1.16497,1.20528,0.72468,0.63848,0.70857,0.5023,0.99371,2.73241,1.09182,0.009703,0.009703,0.009703
5,390.703,1.13384,1.10168,1.19435,0.83242,0.71802,0.79324,0.5899,0.8816,1.23788,1.00831,0.009604,0.009604,0.009604
6,464.078,1.11423,1.06069,1.18203,0.85932,0.69987,0.79119,0.58645,0.8933,1.2331,1.01662,0.009505,0.009505,0.009505
7,539.838,1.08624,1.01478,1.16835,0.86848,0.71154,0.81177,0.62543,0.81465,1.66502,0.97866,0.009406,0.009406,0.009406
8,612.341,1.05819,0.97597,1.15443,0.83798,0.77559,0.81353,0.61251,0.87421,1.06368,1.01591,0.009307,0.009307,0.009307
9,687.232,1.0474,0.95107,1.15281,0.86041,0.76581,0.83192,0.63773,0.80498,1.11005,0.97476,0.009208,0.009208,0.009208
10,762.122,1.02225,0.91905,1.13864,0.86773,0.76768,0.84992,0.65096,0.8051,0.91935,0.96949,0.009109,0.009109,0.009109
11,836.484,1.01576,0.90562,1.13495,0.88697,0.77879,0.84443,0.65233,0.79562,1.00679,0.97491,0.00901,0.00901,0.00901
12,911.744,0.99824,0.88864,1.12731,0.8715,0.7742,0.84128,0.64471,0.79815,0.95396,0.96822,0.008911,0.008911,0.008911
13,984.527,0.98943,0.87499,1.12616,0.86846,0.77654,0.8479,0.66095,0.76246,0.97354,0.94683,0.008812,0.008812,0.008812
14,1057.75,0.97646,0.85638,1.12256,0.89283,0.78387,0.86365,0.67644,0.76906,0.7196,0.95283,0.008713,0.008713,0.008713
